"ProbeID","CodeClass","GeneName.x","Accession","IsControl","ControlConc","MF_vs_eMF","MF_vs_D","eMF_vs_D","eMF_vs_HS","MF_vs_HS","AveExpr","F","P.Value","adj.P.Val","GeneName.y"
"Endogenous_NOD2_NM_022162.2","Endogenous","NOD2","NM_022162.2",FALSE,NA,-0.55268978898736,-0.498587349069583,0.0541024399177772,1.67863551324226,1.1259457242549,6.84109104274198,41.1741615322192,1.11438835782384e-18,1.38841828187888e-17,"NOD2"
"Endogenous_TRAF6_NM_145803.2","Endogenous","TRAF6","NM_145803.2",FALSE,NA,0.678807259453947,0.474578189825242,-0.204229069628705,-1.2790693596369,-0.600262100182949,6.21027228982986,40.8841071713217,1.38822358417961e-18,1.70169342576855e-17,"TRAF6"
"Endogenous_JAML_NM_153206.2","Endogenous","JAML","NM_153206.2",FALSE,NA,-0.103310665383466,0.861082415030797,0.964393080414263,1.85591337691655,1.75260271153308,8.80532862138306,40.7837063563676,1.49818562751591e-18,1.8073350427176e-17,"JAML"
"Endogenous_TOX_NM_014729.2","Endogenous","TOX","NM_014729.2",FALSE,NA,-0.1573612598608,1.19290645244281,1.35026771230361,1.67493767693815,1.51757641707735,6.11809125501057,40.739570394391,1.54928551337948e-18,1.83977654713813e-17,"TOX"
"Endogenous_CSF2_NM_000758.2","Endogenous","CSF2","NM_000758.2",FALSE,NA,-0.29198414085804,1.16100289338738,1.45298703424542,2.82432999609832,2.53234585524028,3.82192737166171,40.6669964446262,1.63718958644433e-18,1.91425243953491e-17,"CSF2"
"Endogenous_SELPLG_NM_003006.3","Endogenous","SELPLG","NM_003006.3",FALSE,NA,-0.17388975806151,0.717777867234793,0.891667625296303,2.29102272208299,2.11713296402148,4.49760040988076,40.6010260738312,1.72148606436827e-18,1.98231728624225e-17,"SELPLG"
"Endogenous_HIST2H2AA3_NM_003516.2","Endogenous","HIST2H2AA3","NM_003516.2",FALSE,NA,-0.385585668468426,-0.204074537279027,0.181511131189399,1.97931500140184,1.59372933293341,10.3314510968969,40.566553316153,1.76727537268448e-18,2.0046705720003e-17,"HIST2H2AA3"
"Endogenous_CXCL9_NM_002416.1","Endogenous","CXCL9","NM_002416.1",FALSE,NA,-0.483167277960392,2.2582167288221,2.74138400678249,5.93561949947657,5.45245222151618,8.33971622744637,40.2234975431425,2.29621563543228e-18,2.56635865136549e-17,"CXCL9"
"Endogenous_LAT2_NM_014146.3","Endogenous","LAT2","NM_014146.3",FALSE,NA,-0.704273923624925,0.168007420233482,0.872281343858407,2.43392932506547,1.72965540144055,7.03599411706416,40.1515303952907,2.4261941730213e-18,2.67232981376260e-17,"LAT2"
"Endogenous_YAP1_NM_001130145.2","Endogenous","YAP1","NM_001130145.2",FALSE,NA,0.528472316934419,-0.246360793598097,-0.774833110532516,-1.27887646083335,-0.75040414389893,8.83569691786838,40.0470772359262,2.62826512622786e-18,2.85354499419024e-17,"YAP1"
"Endogenous_LTA_NM_000595.2","Endogenous","LTA","NM_000595.2",FALSE,NA,-0.127971513434137,1.01523720821738,1.14320872165151,2.45285710471205,2.32488559127791,4.55864330994065,39.8377094908902,3.08631473616726e-18,3.30366084434806e-17,"LTA"
"Endogenous_BATF3_NM_018664.2","Endogenous","BATF3","NM_018664.2",FALSE,NA,-0.614379731988555,0.194553936114906,0.808933668103461,2.55113746102732,1.93675772903876,6.4330554287391,39.3206916389869,4.59710371199563e-18,4.85249836266206e-17,"BATF3"
"Endogenous_CXCR3_NM_001504.1","Endogenous","CXCR3","NM_001504.1",FALSE,NA,-0.0359492062015603,1.35726611693321,1.39321532313477,2.84717002519675,2.81122081899519,5.42149893554039,39.0093063651736,5.85090530501468e-18,6.09135346823446e-17,"CXCR3"
"Endogenous_CD83_NM_004233.3","Endogenous","CD83","NM_004233.3",FALSE,NA,-0.0650599388474333,1.14766773620032,1.21272767504776,2.19078289042,2.12572295157256,7.56708281761956,38.8151984660732,6.80319696270523e-18,6.98706715088645e-17,"CD83"
"Endogenous_IL7R_NM_002185.2","Endogenous","IL7R","NM_002185.2",FALSE,NA,0.950917764314948,1.85971945295966,0.908801688644709,2.07581103617113,3.02672880048608,7.83194611456514,37.6905329230693,1.64139035784953e-17,1.66327556262086e-16,"IL7R"
"Endogenous_PSMB9_NM_002800.4","Endogenous","PSMB9","NM_002800.4",FALSE,NA,-0.106171206054963,0.800470168411829,0.906641374466792,1.75941258853452,1.65324138247956,8.46951295231532,37.2845667905303,2.2624332904386e-17,2.2624332904386e-16,"PSMB9"
"Endogenous_CNN2_NM_004368.3","Endogenous","CNN2","NM_004368.3",FALSE,NA,-0.361197663179356,-0.219998150656878,0.141199512522478,1.00826374088513,0.64706607770577,9.17435518924236,37.1994507747258,2.42037936623624e-17,2.38894586797343e-16,"CNN2"
"Endogenous_NKG7_NM_005601.3","Endogenous","NKG7","NM_005601.3",FALSE,NA,-0.690057952683141,1.1216159473568,1.81167390003994,3.47585186676126,2.78579391407812,7.0158302137355,37.1324899375021,2.55247437661061e-17,2.48702631567187e-16,"NKG7"
"Endogenous_CSF2RA_NM_006140.3","Endogenous","CSF2RA","NM_006140.3",FALSE,NA,-0.0580502500883942,0.733628710695027,0.791678960783421,1.63952533941627,1.58147508932787,7.78751587485797,36.9421840928698,2.96930011739324e-17,2.85654188508717e-16,"CSF2RA"
"Endogenous_HLA-DOB_NM_002120.3","Endogenous","HLA-DOB","NM_002120.3",FALSE,NA,-0.341858552886285,0.73345773725385,1.07531629014013,1.41651365058851,1.07465509770222,6.05101204500334,36.7788545140298,3.38187795299179e-17,3.2127840553422e-16,"HLA-DOB"
"Endogenous_CCR8_NM_005201.2","Endogenous","CCR8","NM_005201.2",FALSE,NA,-0.768511809757213,1.01835768517356,1.78686949493078,2.68613942969769,1.91762761994048,5.30901903750953,36.5281468762509,4.13154705629335e-17,3.87651328738636e-16,"CCR8"
"Endogenous_CD28_NM_001243078.1","Endogenous","CD28","NM_001243078.1",FALSE,NA,0.265997853166337,1.13548461482483,0.869486761658492,2.2548357743391,2.52083362750543,5.50908201917308,36.1000089414948,5.82417234158534e-17,5.39801338976203e-16,"CD28"
"Endogenous_FOSB_NM_006732.1","Endogenous","FOSB","NM_006732.1",FALSE,NA,-0.446163335320129,0.4046960453728,0.850859380692929,-3.49124638206745,-3.93740971738758,5.50688537653531,35.5576889074322,9.02137765454909e-17,8.26053857524977e-16,"FOSB"
"Endogenous_BATF_NM_006399.3","Endogenous","BATF","NM_006399.3",FALSE,NA,-0.611517881574811,0.721779042235188,1.33329692381,2.18840700865533,1.57688912708052,5.53281892125612,35.5195828591304,9.30410309500379e-17,8.41799803833677e-16,"BATF"
"Endogenous_SPTBN1_NM_003128.2","Endogenous","SPTBN1","NM_003128.2",FALSE,NA,0.543316635270564,0.0968623584298136,-0.44645427684075,-1.4239116503327,-0.880595015062138,10.1932229145101,35.4551965541607,9.80242074802525e-17,8.76451737470493e-16,"SPTBN1"
"Endogenous_RND3_NM_005168.3","Endogenous","RND3","NM_005168.3",FALSE,NA,0.473765981010378,-0.303961615268245,-0.777727596278623,-1.63723814174793,-1.16347216073756,6.85360290769088,35.1057809788843,1.30202786907413e-16,1.15062927964691e-15,"RND3"
"Endogenous_PYCARD_NM_013258.3","Endogenous","PYCARD","NM_013258.3",FALSE,NA,-0.00849983877450278,-0.269493235893163,-0.260993397118661,1.14532976982629,1.13682993105179,7.16163178624381,35.0112125344803,1.40631002943883e-16,1.22850071537185e-15,"PYCARD"
"Endogenous_EMP1_NM_001423.1","Endogenous","EMP1","NM_001423.1",FALSE,NA,0.483973003111021,-0.205377334032308,-0.689350337143329,-1.26271178002897,-0.778738776917947,10.8030926378495,34.9300904033126,1.50250554492605e-16,1.29761842516341e-15,"EMP1"
"Endogenous_CTGF_NM_001901.2","Endogenous","CTGF","NM_001901.2",FALSE,NA,1.26650558292124,0.362588615222132,-0.903916967699112,-3.08781858565253,-1.82131300273129,8.0007579991082,34.6449151315388,1.89699029822865e-16,1.61990182770087e-15,"CTGF"
"Endogenous_SPHK1_NM_021972.2","Endogenous","SPHK1","NM_021972.2",FALSE,NA,-0.702177416973837,-0.315312399890583,0.386865017083253,1.66594266316397,0.963765246190132,5.90824986637544,34.6119241726798,1.9489554263031e-16,1.64578458221151e-15,"SPHK1"
"Endogenous_SELL_NR_029467.1","Endogenous","SELL","NR_029467.1",FALSE,NA,-0.421140774944351,0.64452472743305,1.0656655023774,3.3721012342077,2.95096045926335,5.99515586385705,33.7945448697173,3.82094993348717e-16,3.1911230213739e-15,"SELL"
"Endogenous_ITGB2_NM_000211.2","Endogenous","ITGB2","NM_000211.2",FALSE,NA,-0.109967709394883,0.655301817486047,0.76526952688093,1.86172402108731,1.75175631169243,8.28002793123507,33.5405732769153,4.71670863325011e-16,3.8964114796414e-15,"ITGB2"
