# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_1810085	110.0183	0	233.2514	0	220.2414	0	230.0834	0	145.6452	0	125.0467	0
ILMN_1658176	108.7548	0	85.57851	0.02409638	93.83202	0	105.7817	0	84.89149	0.005347594	93.47746	0
ILMN_2262362	62.01653	0.2996005	72.14359	0.2851406	69.59708	0.2423025	78.82759	0.0293725	74.84773	0.07085562	76.55926	0.04172274
ILMN_1743638	58.66409	0.4966711	68.58478	0.4350736	63.79549	0.5341365	62.63042	0.5220294	58.77039	0.7647059	61.59725	0.5935397
ILMN_2329927	80.62961	0	397.2481	0	507.0383	0	364.7901	0	306.2126	0	127.6641	0
ILMN_1794782	66.80011	0.114514	135.265	0	145.6294	0	109.1787	0	95.48723	0	91.73547	0
ILMN_1695968	58.97767	0.4913449	74.67931	0.2048193	62.19942	0.62249	71.96784	0.1214953	62.05595	0.5949198	74.57719	0.07671601
ILMN_1789641	60.87163	0.3728362	71.43766	0.3199464	65.78471	0.4069612	60.08594	0.6795728	68.3811	0.2820856	63.74577	0.4791386
ILMN_1779470	65.60307	0.1411451	74.12515	0.210174	68.40055	0.2958501	68.26604	0.2483311	70.81714	0.1858289	75.60099	0.05921938
ILMN_1716592	67.66151	0.09986684	97.28683	0	70.88499	0.2034806	90.61046	0	80.47044	0.02272727	76.94309	0.03095558
ILMN_1680309	59.23678	0.4727031	70.08114	0.373494	57.17281	0.8634538	64.1939	0.4379172	63.56412	0.5227273	63.18007	0.5168237
ILMN_1743371	60.50838	0.3968043	57.35735	0.8982597	63.61955	0.5435073	76.23426	0.04539386	83.10492	0.01203209	83.85238	0.001345895
ILMN_1770031	106.0539	0	307.0667	0	229.9692	0	310.029	0	201.5671	0	212.1236	0
ILMN_2338268	62.38158	0.2836218	83.40255	0.04417671	84.63314	0.009370817	64.17053	0.4379172	67.81329	0.2994652	61.8276	0.5827726
ILMN_1753912	53.07251	0.8202397	77.02566	0.145917	67.65762	0.3212851	60.95593	0.6221629	62.58153	0.5708556	58.80911	0.7792732
ILMN_1737475	51.96559	0.8601864	98.82029	0	66.514	0.3721553	81.40446	0.006675567	83.56635	0.009358289	69.2022	0.2355316
ILMN_2318685	64.81454	0.1810919	183.0984	0	170.8904	0	113.5068	0	124.9112	0	137.4796	0
ILMN_2245305	156.1757	0	556.6812	0	849.417	0	387.3558	0	603.0975	0	627.6851	0
ILMN_2073969	65.18691	0.1611185	72.34583	0.2757697	63.76803	0.5368139	57.6674	0.7957276	69.90874	0.2179144	68.66875	0.2476447
ILMN_1794213	99.95631	0	430.4479	0	315.5472	0	214.5992	0	296.5775	0	342.1522	0
ILMN_2227533	108.0169	0	359.6172	0	378.6888	0	360.2042	0	328.6868	0	474.1185	0
ILMN_2403446	68.01025	0.09454061	93.90684	0	100.7357	0	92.0436	0	98.92834	0	140.5142	0
ILMN_1787618	53.05037	0.8202397	62.55973	0.7349398	64.20828	0.5073628	63.31175	0.4913218	60.50158	0.6858289	67.13473	0.3135935
ILMN_1723662	57.25029	0.5858855	74.13853	0.210174	70.15356	0.2208835	70.28909	0.176235	66.85984	0.3395722	87.90031	0
ILMN_1801767	90.3281	0	259.021	0	192.8594	0	340.6326	0	341.6268	0	115.3052	0
ILMN_1700633	76.19199	0.01065246	136.583	0	136.1181	0	84.50021	0	126.8072	0	89.17427	0
ILMN_1655702	61.63771	0.3209054	129.2379	0	84.47415	0.009370817	87.0005	0	95.84912	0	63.1776	0.5168237
ILMN_1706344	75.46519	0.01198402	152.8888	0	108.3306	0	127.4459	0	88.15076	0	80.98715	0.01884253
ILMN_1719498	51.99865	0.8588549	60.28512	0.8246319	73.96655	0.1164659	65.27515	0.3831776	60.05926	0.7018716	70.89556	0.1803499
ILMN_1712707	113.91	0	304.749	0	317.1393	0	156.894	0	279.5151	0	110.6884	0
ILMN_1699750	78.22055	0.001331558	104.856	0	87.7042	0	83.58872	0.001335114	89.19022	0	74.75765	0.07267833
ILMN_1739081	70.42898	0.05992011	72.32584	0.2757697	74.56924	0.107095	69.59937	0.1909212	57.89073	0.8235294	75.16811	0.06864065
ILMN_2329958	81.76005	0	302.1685	0	133.207	0	124.297	0	183.2726	0	165.8307	0
ILMN_1775944	66.26518	0.1251664	94.16619	0	95.67713	0	92.4296	0	81.37192	0.01737968	73.93017	0.09421265
ILMN_1724497	77.18688	0.005326231	152.3898	0	132.5224	0	147.678	0	140.5756	0	142.5545	0
ILMN_1720988	77.51424	0.003994674	88.38	0.008032128	84.16827	0.01204819	86.67677	0	77.79261	0.03342246	85.48526	0
ILMN_1707274	56.1172	0.6564581	63.47394	0.686747	63.70459	0.5381526	59.37962	0.7222964	59.32276	0.7419786	56.68441	0.8559892
ILMN_1755658	105.0106	0	129.8754	0	210.5587	0	85.67112	0	85.08889	0.005347594	97.02336	0
ILMN_1673639	376.3439	0	1376.254	0	864.8385	0	429.212	0	389.5291	0	88.19404	0
ILMN_1713732	152.9886	0	761.4347	0	625.2687	0	327.6952	0	500.8261	0	301.8084	0
ILMN_1708922	78.59983	0	100.1945	0	87.4679	0	72.1349	0.11749	88.56032	0	131.5529	0
ILMN_2268241	59.2361	0.4727031	82.73859	0.05220884	62.64976	0.5983936	67.53451	0.2763685	62.71929	0.5668449	54.18735	0.9259758
ILMN_1741628	67.23376	0.1051931	94.6505	0	90.22389	0	79.55009	0.02136182	97.6356	0	83.69956	0.001345895
ILMN_1657870	70.20256	0.06391478	76.87988	0.1499331	77.58167	0.06024097	71.03744	0.1508678	70.39662	0.1965241	74.85136	0.07267833
ILMN_2240003	73.10284	0.02929427	80.58047	0.0789826	94.58265	0	68.88696	0.2162884	75.21842	0.06283423	75.3504	0.06460296
ILMN_1785424	374.21	0	1710.197	0	688.9876	0	683.1312	0	479.9747	0	204.3535	0
ILMN_1731610	70.20954	0.06391478	73.84323	0.2168675	89.47274	0	79.71623	0.01869159	80.37331	0.02272727	75.22196	0.06864065
ILMN_1696682	62.82307	0.2609853	77.1367	0.1432396	67.80965	0.3159304	75.96503	0.0493992	61.70473	0.6136364	72.57883	0.12786
ILMN_2396672	97.91654	0	360.9677	0	194.2829	0	185.7866	0	189.2209	0	85.84386	0
ILMN_1758825	92.6898	0	244.6666	0	132.0119	0	69.19193	0.2056075	129.9304	0	66.05605	0.3647375
ILMN_1656940	62.75135	0.2636485	229.9228	0	131.356	0	83.06276	0.001335114	103.7345	0	68.66363	0.2476447
ILMN_1656979	57.36433	0.5805593	65.81155	0.5756359	65.5476	0.4243641	61.87462	0.5554072	64.86315	0.4491979	69.087	0.2395693
ILMN_1731433	113.2723	0	279.8329	0	79.50963	0.04149933	102.8169	0	228.902	0	75.27199	0.06594886
ILMN_1672878	272.3757	0	1246.855	0	1248.625	0	589.4553	0	713.5663	0	221.7458	0
ILMN_1655114	71.96429	0.0346205	94.33088	0	92.71855	0	81.85213	0.005340454	93.98005	0	76.17115	0.04710633
ILMN_1657045	59.39602	0.4673768	71.20013	0.3266399	72.8088	0.1472557	60.3876	0.6582109	67.32825	0.315508	76.83325	0.03364738
ILMN_1766991	57.00827	0.6045273	71.31485	0.3239625	64.01656	0.5247657	62.51023	0.5273698	68.0919	0.2954545	64.38709	0.4441454
ILMN_1658083	67.97662	0.09454061	120.7411	0	66.01044	0.3975904	66.44387	0.3217624	70.40515	0.1965241	69.25549	0.2341857
ILMN_1802096	180.7825	0	477.0756	0	355.2952	0	520.1754	0	452.5707	0	195.1704	0
ILMN_2367165	131.1409	0	431.491	0	283.4158	0	435.9031	0	379.4997	0	147.217	0
ILMN_1753370	53.20161	0.8095872	86.82804	0.01874163	77.84813	0.05756359	60.40364	0.6555407	68.55235	0.2754011	60.58634	0.6608344
ILMN_1738921	256.5633	0	815.84	0	622.8483	0	764.6608	0	505.8435	0	397.4841	0
ILMN_1660199	65.24757	0.1557923	175.364	0	137.5825	0	121.9991	0	103.494	0	83.38383	0.001345895
